17-067848-FC01,3/6/2018,Cobb,"4487 Glenforest Drive NE Roswell, Georgia",30075,"Mortgage Electronic Registration Systems, Inc., as nominee for Carrington Mortgage Services, LLC., its successors and assigns",4/12/2016,296300,,Auction.com,,,,,
17-067424-FC01,3/6/2018,Cobb,"1025 Manor Drive SE Smyrna, Georgia",30080,"Mortgage Electronic Registration Systems, Inc. as nominee for Regions Bank d/b/a Regions Mortgage, its successors and assigns",10/19/2009,65120,,Auction.com,,,,,
17-066547-FC02,3/6/2018,Cobb,"391 Ethridge Drive NW Kennesaw, Georgia",30144,"Bank of America, N.A.",5/30/2008,181476,,Auction.com,,,,,
18-068125-FC01,3/6/2018,Cobb,"1724 Wynndowne Trail Se Smyrna, Georgia",30080,"Mortgage Electronic Registration Systems, Inc. as nominee for AHM Mortgage",5/29/2007,93380,,Auction.com,,,,,
18-068241-FC01,3/6/2018,Cobb,"126 Creighton Lane Marietta, Georgia",30008,"Mortgage Electronic Registration Systems, Inc. as nominee for SunTrust Mortgage, Inc., its successors and assigns",8/30/2007,176400,,Auction.com,,,,,
17-068052-FC01,3/6/2018,Cobb,"4008 Jody Circle Austell, Georgia",30106,"Mortgage Electronic Registration Systems, Inc., as nominee for Pine State Mortgage Corporation, its successors and assigns",5/27/2005,127301,,Xome.com,,,,,
17-068044-FC01,3/6/2018,Cobb,"217 Nellie Trace SE Mableton, Georgia",30126,Wachovia Mortgage Corporation,3/9/2007,151000,,,,,,,
17-067980-FC01,3/6/2018,Cobb,"5585 Wheatfield Lane Powder Springs, Georgia",30127,"Mortgage Electronic Registration Systems, Inc., as nominee for Countrywide Bank, N.A., its successors and assigns",8/3/2006,150150,,Xome.com,,,,,
17-067991-FC01,3/6/2018,Cobb,"6010 Deer View Place Austell, Georgia",30106,"Wells Fargo Bank, N.A.",8/17/2011,63352,,Auction.com,,,,,
18-068354-FC01,3/6/2018,Cobb,"1529 Endurance Hill Drive NW Kennesaw, Georgia",30152,"Mortgage Electronic Registration Systems, Inc. as nominee for Southeast Mortgage of Georgia, Inc. a Corporation",10/3/2013,125935,,Auction.com,,,,,
17-066496-FC02,3/6/2018,Coffee,"95 Matts Way Douglas, Georgia",31535,New Century Mortgage Corporation,9/26/2005,108000,,,,,,,
18-068138-FC01,3/6/2018,Columbia,"710 Faircloth Court Evans, Georgia",30809,"Mortgage Electronic Registration Systems, Inc., as nominee for First Bank Mortgage: A Division of First Bank of Georgia",4/30/2003,69900,,Auction.com,,,,,
17-067939-FC01,3/6/2018,Columbia,"212 Ansley Way Harlem, Georgia",30814,"Mortgage Electronic Registration Systems, Inc., as nominee for Primary Capital Advisors, LC, its successors and assigns",6/1/2009,142755,,Auction.com,,,,,
